company,file,window_end_index,S0,sigma,option_price,future_price,pct_change,abs_pct_change
exxon,exxon_us_d.csv,12637,51.5204,0.2261498705120854,5.498813347377794,46.656,-20.114776568850004,20.114776568850004
exxon,exxon_us_d.csv,12385,59.9939,0.2268328077520695,6.418966602692507,51.0352,-25.6320502629309,25.6320502629309
exxon,exxon_us_d.csv,12133,58.4894,0.227189362202297,6.266021655437399,59.8976,-8.305473565188572,8.305473565188572
exxon,exxon_us_d.csv,11881,60.9062,0.2287003082081997,6.560358168426212,59.1596,-13.638936870837805,13.638936870837805
exxon,exxon_us_d.csv,11629,57.8117,0.2300340010681681,6.25672224491198,61.3078,-4.775196447971573,4.775196447971573
exxon,exxon_us_d.csv,11377,63.807,0.2297212456056447,6.897886766033391,58.0635,-19.811912119412284,19.811912119412284
exxon,exxon_us_d.csv,11125,60.8984,0.2308327426491432,6.609508424405888,63.7663,-6.144017616892873,6.144017616892873
exxon,exxon_us_d.csv,10873,57.7144,0.2325634940886786,6.302393762140873,60.3693,-6.319902419744238,6.319902419744238
exxon,exxon_us_d.csv,10621,54.3426,0.2342006983540358,5.968448390748449,58.3465,-3.615116668595996,3.615116668595996
exxon,exxon_us_d.csv,10369,51.8269,0.2338100933836395,5.684354814202191,53.8185,-7.1251701610595894,7.1251701610595894
exxon,exxon_us_d.csv,10117,40.3279,0.2349664925054089,4.4411043959461445,51.927,17.749487585651263,17.749487585651263
exxon,exxon_us_d.csv,9865,49.3567,0.2345866444177262,5.42818123099611,40.2783,-29.391311070221683,29.391311070221683
exxon,exxon_us_d.csv,9613,50.3836,0.2227495845182524,5.311549339744925,48.0457,-15.182419159696666,15.182419159696666
exxon,exxon_us_d.csv,9361,46.6843,0.22204187969092,4.908847407231541,50.795,-1.7096698616698534,1.7096698616698534
exxon,exxon_us_d.csv,9109,37.9793,0.2228845490495304,4.005833425139098,46.8106,12.705517413066856,12.705517413066856
exxon,exxon_us_d.csv,8857,33.7304,0.2224894735286946,3.552556330388452,38.3245,3.087848556825729,3.087848556825729
exxon,exxon_us_d.csv,8605,24.9632,0.2241026928560218,2.6446739801751367,33.3637,23.05724434297231,23.05724434297231
exxon,exxon_us_d.csv,8353,21.4195,0.2257811361415731,2.283080459453086,24.9974,6.045050260495877,6.045050260495877
exxon,exxon_us_d.csv,8101,23.7252,0.2218548457056945,2.49299383431665,21.4195,-20.22614702643877,20.22614702643877
exxon,exxon_us_d.csv,7849,24.6871,0.2211911469943118,2.5877635246463093,24.1279,-12.747400564044826,12.747400564044826
exxon,exxon_us_d.csv,7597,24.4012,0.2176792669953332,2.524824537202921,24.9195,-8.223056805414984,8.223056805414984
exxon,exxon_us_d.csv,7345,21.153,0.2151920129879313,2.168490382328658,25.1548,8.666901232313833,8.666901232313833
exxon,exxon_us_d.csv,7093,17.9924,0.2136389870879352,1.8337356670166864,21.5235,9.433785003575467,9.433785003575467
exxon,exxon_us_d.csv,6841,15.3783,0.2113649932896642,1.5538655888404165,17.9535,6.641399967223831,6.641399967223831
exxon,exxon_us_d.csv,6589,11.8063,0.2117477276176508,1.1946785097223929,14.9348,16.3795726881208,16.3795726881208
exxon,exxon_us_d.csv,6337,9.30981,0.2135407245746671,0.9484782690792252,11.882,17.440868620527954,17.440868620527954
exxon,exxon_us_d.csv,6085,9.79509,0.2155141789737305,1.005353085773387,9.30981,-15.21816630345802,15.21816630345802
exxon,exxon_us_d.csv,5833,9.15965,0.2180210948511141,0.9489656600282697,9.77661,-3.624654435794698,3.624654435794698
exxon,exxon_us_d.csv,5581,8.81247,0.21952864068389,0.9181080193635368,9.10558,-7.092200249913319,7.092200249913319
exxon,exxon_us_d.csv,5329,7.63524,0.2207303958263287,0.7989913092828314,8.68147,3.238125988405973,3.238125988405973
exxon,exxon_us_d.csv,5077,7.15123,0.2217217897840096,0.7510699830066572,7.5239,-5.291397186311402,5.291397186311402
exxon,exxon_us_d.csv,4825,6.7209,0.2234159879413641,0.7102555472665877,7.13168,-4.455884587876442,4.455884587876442
exxon,exxon_us_d.csv,4573,5.95554,0.2234410511179579,0.6294307879928667,6.85229,4.4885805822332365,4.4885805822332365
exxon,exxon_us_d.csv,4321,6.236,0.2014356601405751,0.6063026267929206,5.93715,-14.514955529071848,14.514955529071848
exxon,exxon_us_d.csv,3817,3.55363,0.2008574147472686,0.3447165183503697,3.72159,-4.973970794662637,4.973970794662637
exxon,exxon_us_d.csv,3565,2.73809,0.2014467393743893,0.2662257600150224,3.48507,17.558014527826966,17.558014527826966
