company,file,n_rows,days_bef_start_point,avg_abs_pct_change
shell,shell_us_d.csv,1014,355,8.182158219497413
shell,shell_us_d.csv,1014,405,8.236185978604876
shell,shell_us_d.csv,1014,456,8.384688857677714
shell,shell_us_d.csv,1014,507,8.364348922329667
shell,shell_us_d.csv,1014,557,8.356429296588136
shell,shell_us_d.csv,1014,608,8.137222064775667
shell,shell_us_d.csv,1014,659,8.06023712005352
shell,shell_us_d.csv,1014,709,7.9346655457298265
shell,shell_us_d.csv,1014,760,7.839501863869708
sp500,sp500_d.csv,39639,0,
sp500,sp500_d.csv,39639,2626,14.957078972004053
sp500,sp500_d.csv,39639,5251,15.002837651428905
sp500,sp500_d.csv,39639,7877,15.055503297160792
sp500,sp500_d.csv,39639,10503,15.142486630401487
sp500,sp500_d.csv,39639,13128,15.09344881946672
sp500,sp500_d.csv,39639,15754,15.027244291235721
sp500,sp500_d.csv,39639,18380,15.054172071948258
sp500,sp500_d.csv,39639,21005,15.056825864957446
sp500,sp500_d.csv,39639,23631,15.03449954883338
sp500,sp500_d.csv,39639,26257,15.057842119914358
sp500,sp500_d.csv,39639,28882,15.0573941753349
sp500,sp500_d.csv,39639,31508,15.051149062493147
sp500,sp500_d.csv,39639,34134,15.0541840499512
sp500,sp500_d.csv,39639,36759,15.047323872868821
sp500,sp500_d.csv,39639,39385,15.031604351228117
target,target_us_d.csv,10804,0,
target,target_us_d.csv,10804,703,22.66085964903009
target,target_us_d.csv,10804,1407,22.4372386342968
target,target_us_d.csv,10804,2110,22.575930093521478
target,target_us_d.csv,10804,2813,22.3292617152546
target,target_us_d.csv,10804,3517,22.36203404905343
target,target_us_d.csv,10804,4220,22.41095499046201
target,target_us_d.csv,10804,4923,22.398677664033602
target,target_us_d.csv,10804,5627,22.410583707523365
target,target_us_d.csv,10804,6330,22.463512638583577
target,target_us_d.csv,10804,7033,22.472427639839196
target,target_us_d.csv,10804,7737,22.45772848039693
target,target_us_d.csv,10804,8440,22.422476545179222
target,target_us_d.csv,10804,9143,22.430483525301145
target,target_us_d.csv,10804,9847,22.436758767941967
target,target_us_d.csv,10804,10550,22.43270865467295
tesla,tesla_us_d.csv,3936,0,
tesla,tesla_us_d.csv,3936,245,84.16549783654719
tesla,tesla_us_d.csv,3936,491,84.26353901182483
tesla,tesla_us_d.csv,3936,736,84.18155182482764
tesla,tesla_us_d.csv,3936,982,84.27590040086453
tesla,tesla_us_d.csv,3936,1227,84.3704103716095
tesla,tesla_us_d.csv,3936,1473,84.02990544761748
tesla,tesla_us_d.csv,3936,1718,83.93416583133434
tesla,tesla_us_d.csv,3936,1964,83.98788397189976
tesla,tesla_us_d.csv,3936,2209,83.86043946255259
tesla,tesla_us_d.csv,3936,2455,83.80325766480225
tesla,tesla_us_d.csv,3936,2700,83.78708150240169
tesla,tesla_us_d.csv,3936,2946,83.83356910435347
tesla,tesla_us_d.csv,3936,3191,83.87465543500136
tesla,tesla_us_d.csv,3936,3437,83.83860083055066
